repo,hallazgo,vector,conozco,verifico,evidencio,decido_y_actuo
AutoGPT,GHSA-h526-wf6g-67jv,Dependencias y código fuente,Se detectó GHSA-h526-wf6g-67jv con severidad Critical en el paquete @orval/core.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/AutoGPT-grype-raw.json. Versión instalada: 7.13.0. Ubicación: /autogpt_platform/frontend/pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 7.19.0, ejecutar pruebas y volver a escanear con Grype."
AutoGPT,GHSA-jjhc-v7c2-5hh6,Dependencias y código fuente,Se detectó GHSA-jjhc-v7c2-5hh6 con severidad Critical en el paquete litellm.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/AutoGPT-grype-raw.json. Versión instalada: 1.80.0. Ubicación: /classic/poetry.lock.,"Actualizar el paquete a una versión corregida: 1.83.0, ejecutar pruebas y volver a escanear con Grype."
AutoGPT,GHSA-mwr6-3gp8-9jmj,Dependencias y código fuente,Se detectó GHSA-mwr6-3gp8-9jmj con severidad Critical en el paquete @orval/mcp.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/AutoGPT-grype-raw.json. Versión instalada: 7.13.0. Ubicación: /autogpt_platform/frontend/pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 7.18.0, ejecutar pruebas y volver a escanear con Grype."
AutoGPT,GHSA-xq3m-2v4x-88gg,Dependencias y código fuente,Se detectó GHSA-xq3m-2v4x-88gg con severidad Critical en el paquete protobufjs.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/AutoGPT-grype-raw.json. Versión instalada: 7.5.4. Ubicación: /autogpt_platform/frontend/pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 7.5.5, ejecutar pruebas y volver a escanear con Grype."
developer-roadmap,GHSA-fjxv-7rqg-78g4,Dependencias y código fuente,Se detectó GHSA-fjxv-7rqg-78g4 con severidad Critical en el paquete form-data.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/developer-roadmap-grype-raw.json. Versión instalada: 4.0.2. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 4.0.4, ejecutar pruebas y volver a escanear con Grype."
freeCodeCamp,GHSA-cpq7-6gpm-g9rc,Dependencias y código fuente,Se detectó GHSA-cpq7-6gpm-g9rc con severidad Critical en el paquete cipher-base.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/freeCodeCamp-grype-raw.json. Versión instalada: 1.0.4. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 1.0.5, ejecutar pruebas y volver a escanear con Grype."
freeCodeCamp,GHSA-fjxv-7rqg-78g4,Dependencias y código fuente,Se detectó GHSA-fjxv-7rqg-78g4 con severidad Critical en el paquete form-data.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/freeCodeCamp-grype-raw.json. Versión instalada: 4.0.2. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 4.0.4, ejecutar pruebas y volver a escanear con Grype."
freeCodeCamp,GHSA-m7jm-9gc2-mpf2,Dependencias y código fuente,Se detectó GHSA-m7jm-9gc2-mpf2 con severidad Critical en el paquete fast-xml-parser.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/freeCodeCamp-grype-raw.json. Versión instalada: 4.2.5. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 4.5.4, ejecutar pruebas y volver a escanear con Grype."
freeCodeCamp,GHSA-rpr9-rxv7-x643,Dependencias y código fuente,Se detectó GHSA-rpr9-rxv7-x643 con severidad Critical en el paquete sanitize-html.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/freeCodeCamp-grype-raw.json. Versión instalada: 2.17.3. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 2.17.4, ejecutar pruebas y volver a escanear con Grype."
n8n,GHSA-248r-7h7q-cr24,Dependencias y código fuente,Se detectó GHSA-248r-7h7q-cr24 con severidad Critical en el paquete vm2.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/n8n-grype-raw.json. Versión instalada: 3.11.2. Ubicación: /pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 3.11.3, ejecutar pruebas y volver a escanear con Grype."
n8n,GHSA-2w6w-674q-4c4q,Dependencias y código fuente,Se detectó GHSA-2w6w-674q-4c4q con severidad Critical en el paquete handlebars.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/n8n-grype-raw.json. Versión instalada: 4.7.8. Ubicación: /.github/scripts/pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 4.7.9, ejecutar pruebas y volver a escanear con Grype."
n8n,GHSA-67hx-6x53-jw92,Dependencias y código fuente,Se detectó GHSA-67hx-6x53-jw92 con severidad Critical en el paquete @babel/traverse.,Confirmar que la versión instalada aparece en la SBOM y revisar si el paquete se usa en una parte ejecutable o expuesta del sistema.,Evidencia en data/results/n8n-grype-raw.json. Versión instalada: 7.21.4. Ubicación: /packages/@n8n/tournament/pnpm-lock.yaml.,"Actualizar el paquete a una versión corregida: 7.23.2, ejecutar pruebas y volver a escanear con Grype."
